% Time	SBX	SBY	SBZ	FRX	FRY	FRZ	FLX	FLY	FLZ	WRX	WRY	WRZ	WLX	WLY	WLZ	SpdCom	ax	ay	az	gx	gy	gz	mx	my	mz	Angle	headZ
1.900	0.1127	0.5783	3.2886	0.0556	0.0297	3.6989	-0.0024	-0.1168	3.5699	-0.0077	0.5195	3.1386	-0.0576	0.6002	3.1534	-0.0655	1.1023	2.8782	0.0711	0.5259	3.2333	0.000	
1.933	0.1183	0.5774	3.2842	0.0664	0.0327	3.6970	0.0145	-0.1146	3.5825	-0.0084	0.5178	3.1376	-0.0568	0.6003	3.1540	-0.0640	1.1009	2.8781	0.0772	0.5244	3.2242	0.000	
1.967	0.1319	0.5595	3.2757	0.0778	0.0311	3.6987	0.0265	-0.1013	3.5703	-0.0239	0.5453	3.0951	-0.0561	0.6007	3.1538	-0.0618	1.1003	2.8762	0.0802	0.5188	3.2260	0.000	
2.000	0.1334	0.5587	3.2757	0.0873	0.1649	3.6303	0.0564	-0.0939	3.6343	-0.0150	0.5042	3.1304	-0.0536	0.6002	3.1526	-0.0606	1.0993	2.8762	0.0847	0.5262	3.2431	0.000	
2.033	0.1268	0.5364	3.2640	0.1104	0.1524	3.6530	0.0616	-0.0946	3.6141	-0.0173	0.5038	3.1266	-0.0660	0.5981	3.1428	-0.0641	1.1013	2.8709	0.0748	0.5104	3.2447	0.000	
2.067	0.1335	0.5481	3.2599	0.1163	0.1528	3.6519	0.0537	-0.1385	3.6142	-0.0176	0.5075	3.1144	-0.0618	0.5964	3.1443	-0.0573	1.0961	2.8679	0.0792	0.5170	3.2316	0.000	
2.100	0.1338	0.5484	3.2601	0.1216	0.1532	3.6513	0.0722	-0.0910	3.5984	-0.0140	0.5001	3.1066	-0.0585	0.5964	3.1431	-0.0523	1.0905	2.8616	0.0800	0.5173	3.2328	0.000	
2.133	-0.0008	0.5853	3.3155	0.1357	0.2607	3.5795	0.0895	-0.1015	3.5539	0.0808	0.5857	2.9850	-0.0450	0.5894	3.1413	-0.0436	1.0859	2.8477	-0.0550	0.5626	3.2923	0.000	
2.167	-0.0014	0.5848	3.3058	0.1811	0.2244	3.5912	0.0927	-0.0851	3.5700	0.0364	0.4939	3.0533	-0.0822	0.7298	3.2291	-0.0407	1.0820	2.8401	-0.0594	0.5539	3.2161	0.000	
2.200	-0.0017	0.5845	3.3029	0.1905	0.1484	3.6108	0.1176	-0.0537	3.5081	0.0441	0.4890	3.0498	-0.0812	0.7264	3.2245	-0.0348	1.0757	2.8310	-0.0587	0.5803	3.2498	0.000	
2.233	0.0214	0.5613	3.2493	0.2126	0.2259	3.5677	0.1219	-0.0714	3.5331	0.1175	0.5668	2.9743	-0.0785	0.7232	3.2126	-0.0296	1.0700	2.8238	-0.0245	0.5539	3.2175	0.000	
2.267	0.0246	0.5632	3.2420	0.0921	-0.0570	3.5838	0.1168	-0.0617	3.5091	0.1260	0.5648	2.9700	-0.0786	0.7179	3.1993	-0.0204	1.0623	2.8128	-0.0191	0.5546	3.2052	0.000	
2.300	0.0285	0.5619	3.2382	0.0913	-0.0552	3.5850	0.1093	-0.0834	3.5781	0.1324	0.5189	2.9846	-0.0821	0.7165	3.1962	-0.0113	1.0566	2.8063	-0.0172	0.5537	3.2063	0.000	
2.333	0.0285	0.5552	3.2326	0.0948	-0.0599	3.5827	0.0585	-0.0058	3.7166	0.1385	0.5152	2.9832	-0.0842	0.6494	3.1722	-0.0052	1.0498	2.8021	-0.0178	0.5500	3.2045	0.000	
2.367	0.0140	0.5542	3.2262	0.1035	-0.0499	3.5909	0.0552	-0.0068	3.7302	0.1662	0.5231	2.9680	-0.0804	0.6156	3.1624	0.0061	1.0407	2.7819	-0.0372	0.5675	3.2342	0.000	
2.400	0.0111	0.5542	3.2264	0.1053	-0.0456	3.5899	0.0567	-0.0114	3.7354	0.1527	0.4957	2.9781	-0.0791	0.6111	3.1564	0.0101	1.0362	2.7792	-0.0376	0.5676	3.2345	0.000	
2.433	0.0201	0.5482	3.2155	0.1261	-0.0763	3.5708	0.0567	-0.0112	3.7358	0.1908	0.4828	2.9788	-0.0823	0.6257	3.1376	0.0195	1.0282	2.7666	-0.0292	0.5614	3.2255	0.000	
2.467	0.1806	0.6442	3.3085	0.1150	-0.0251	3.5461	0.0568	-0.0059	3.7324	0.2209	0.4996	2.9559	-0.0814	0.6278	3.1307	0.0277	1.0218	2.7537	0.1227	0.6555	3.3115	0.000	
2.500	0.1793	0.6428	3.3076	0.1096	-0.0090	3.5541	0.0552	-0.0010	3.7279	0.2312	0.5041	2.9524	-0.0786	0.6556	3.1179	0.0466	1.0129	2.7527	0.1211	0.6539	3.3097	0.000	
2.533	0.1787	0.6365	3.3002	0.1181	-0.0165	3.5506	0.0557	-0.0002	3.7230	0.2445	0.4980	2.9520	-0.0804	0.6896	3.1080	0.0500	1.0102	2.7504	0.1201	0.6457	3.2967	0.000	
2.567	0.1780	0.6329	3.2908	0.1144	-0.0045	3.5524	0.0478	0.0251	3.6824	0.2589	0.4917	2.9496	-0.0772	0.6866	3.0886	0.0566	1.0061	2.7412	0.1187	0.6426	3.2844	0.000	
2.600	0.1771	0.6251	3.2860	0.1081	0.0073	3.5620	0.0452	0.0255	3.6661	0.2712	0.4876	2.9466	-0.0799	0.6188	3.0688	0.0695	1.0010	2.7377	0.1156	0.6297	3.2749	0.000	
2.633	0.1759	0.6180	3.2813	0.1063	0.0038	3.5654	0.0347	0.0440	3.6287	0.2895	0.4244	2.9681	-0.0842	0.5861	3.0461	0.0789	0.9984	2.7336	0.1133	0.6241	3.2704	0.000	
2.667	0.1744	0.6147	3.2780	0.1212	-0.0210	3.5571	-0.0155	0.0321	3.5913	0.2947	0.4208	2.9682	-0.0857	0.5830	3.0411	0.0802	0.9976	2.7339	0.1106	0.6214	3.2667	0.000	
2.700	0.1729	0.6142	3.2741	0.1069	-0.0054	3.5740	-0.0322	0.0377	3.5699	0.3096	0.4461	2.9564	-0.0885	0.5864	3.0305	0.0858	0.9943	2.7270	0.1088	0.6220	3.2632	0.000	
2.733	0.1703	0.6147	3.2720	0.1182	-0.0330	3.5632	-0.0152	0.0534	3.5266	0.3171	0.3933	2.9831	-0.0889	0.5947	3.0301	0.0903	0.9865	2.7144	0.1040	0.6230	3.2593	0.000	
